12000105,21035573,SLWP,,,11/1/2012,3/31/2014,1/5/2000,1y 5m,On-going,Local,No records,Ph.D in Social Development,UP Diliman,Diliman,Philippines
14000106,21035573,LFF,,,8/1/2014,7/31/2015,1 / 0 / 0,1.5y 0m,On-going,Local,No records,Ph.D in Social Development,UP Diliman,Diliman,Philippines
12000107,21035573,SLWP,Full-time,Original,11/1/2012,10/31/2013,1 / 0 / 0,1y 0m,On-going,Local,,Ph.D in Social Development,UP Diliman,Diliman,Philippines
13000108,21032834,SDWP,,,4/30/2013,6/6/2013,0 / 1 / 8,6m,On-going,Abroad,No records,Visiting professor,Karlstad University,Karlstad,Sweden
12000109,21621039,SDWP,,,10/29/2012,5/31/2013,0 / 7 / 3,2y ,Served,Abroad,No records,Research Work (Experiment),Academia Sinica,Taipei,Taiwan
15000110,21621039,SLWP,,,1/1/2015,5/31/2015,0 / 5 / 0,0y 5m,On-going,Local,No records,Ph.D dissertation,UP Diliman,Diliman,Philippines
13000111,21685142,SDWOP,,,6/1/2013,5/31/2014,1 / 0 / 0,1y 0m,On-going,Abroad,No records,Research work for post doctoral studies,Max Planck Institut fun Physik Kamplexer Systeme,Diesden,Germany
14000112,212033184,Sabbatical,Full-time,Original,8/1/2014,7/31/2015,1 / 0 / 0,1.5y 0m,On-going,Local,,,,,
12000113,23070600,NTSF,,,1/2/2012,4/30/2014,2/3/2029,3y 4.5m,On-going,Local,No records,BS and Technology,ICCT College,Rizal,Philippines
12000114,23070600,NTSF,,,1/2/2012,12/31/2013,1/11/1930,1.5y 16.5m,Served,Local,,,ICCT College,,Philippines
12000115,23070600,NTSF,,,1/2/2012,4/30/2012,0 / 3 / 29,0y 4.5m,Served,Local,,,"ICCT College, Cainta Branch, Cainta, Rizal",,
14000116,21083804,SLWP,,,4/1/2014,5/31/2015,1/2/2000,3y ,with RSO,Abroad,No records,Ph.D in Computer Science,"University of Manchester, England",Manchester,England
10000117,21048951,SDWP,,,11/15/2010,1/22/2011,0 / 2 / 8,1y,Served,Abroad,No records,Visiting Research fellow,Academy of Natural Sciences,Philadelphia,USA
14000118,21048951,SLWP,,,7/1/2014,7/31/2017,3/1/2000,6y 6m,On-going,Abroad,No records,Ph.D in Environmental Science,"University of Drexel in Phildelphia, USA",Philadelphia,USA
13000119,22307021,SLWP,,,9/24/2013,3/31/2015,1/6/2008,4y ,On-going,Abroad,No records,Japanese Language Training and Teacher Training Program,University of Tsukuba,Tsukuba,Japan
15000120,21914815,SLWP,,,6/1/2015,11/30/2015,0 / 6 / 0,2y ,On-going,Abroad,No records,MA in teaching Italian language,Universita per Stranieri di Siena,Siena,Italy
16000121,21914815,SLWP,,Reinstatement,2/1/2016,2/15/2016,0 / 0 / 15,,,Abroad,No records,MA in teaching Italian language,Universita per Stranieri di Siena,Siena,Italy
10000122,71032406,SDWP,Full-time,Original,3/21/2010,3/24/2010,0 / 0 / 4,,,Abroad,,,,Seoul,Korea
15000123,71032406,Professorial Chair,,,6/1/2015,7/31/2016,1/2/2000,1.5y 3m,On-going,Local,,BSP Sterling PC in Monetary Economics,,,
15000124,21034153,SDWP,,,1/2/2015,12/31/2015,0 / 11 / 30,0y 11m,On-going,Local,PEJA,Research and development ,"UCIDS, UP",Diliman,Philippines
10000125,21034153,SDWP,,,3/10/2010,3/12/2010,0 / 0 / 3,,,Abroad,,,,Tokyo,Japan
10000126,21034153,Sabbatical,,,6/1/2010,5/31/2011,1 / 0 / 0,1.5y 0m,Served,,,,,,
15000127,201320887,SLWP,,,8/1/2015,7/31/2017,2 / 0 / 0,2y 0m,On-going,Local,UPD Local Faculty Fellowships,Ph.D in Nutrition,UP Diliman,Diliman,Philippines
14000128,22039481,Sabbatical,,,8/1/2014,7/31/2015,1 / 0 / 0,1.5y 0m,On-going,Local,,,,,
10000129,21903541,SDWOP,,,2/25/2010,3/1/2011,1 / 0 / 5,1y 0m,Served,Abroad,No records,Visiting professor,Woosong University,Daejon,Korea
11000130,21720156,SDWP,,,3/1/2011,5/31/2012,1/3/2000,3y ,Served,Abroad,No records,Internship program,Gwangju Institute of Science and Technology,Gwangju,South Korea
15000131,21720156,SLWP,,,3/1/2015,7/31/2016,1/5/2000,3y ,On-going,Abroad,No records,Ph.D in Chemical Engineering.,Yeungnam University in Gyeongsam City,Gyengbuk,Rep. of Korea
10000132,21619305,LFF,,,6/1/2010,5/31/2011,1 / 0 / 0,1.5y 0m,Served,Local,No records,MS in Chemistry,UP Diliman,Diliman,Philippines
10000133,21619305,SDWP,,,11/23/2010,5/23/2011,0 / 6 / 1,2y ,Served,Abroad,No records,Research Work,Academia Sinica,Nangang,Taipei
14000134,21604937,LFF,,,8/1/2014,5/31/2015,0 / 10 / 0,0y 15m,On-going,Local,No records,MS in Chemistry,UP Diliman,Diliman,Philippines
10000135,21035523,SDWP,,,2/8/2010,2/11/2010,0 / 0 / 4,,,Abroad,,,,,Indonesia
15000136,22631094,SDWP,,,11/7/2015,12/18/2015,0 / 1 / 12,6m,On-going,Abroad,No records,Participate in the German Cambodian Conservation School,Phnom Penh and siem Reap,Phnom Penh,Cambodia
13000137,21034551,SDWP,,,1/11/2013,3/31/2013,0 / 2 / 21,1y,On-going,Abroad,No records,Recipient of fellowship for foreign researchers,Tohoku University,Sendai,Japan
12000138,21034909,SLWP,,,6/1/2012,5/31/2016,4 / 0 / 0,8y ,with RSO,Abroad,Doctoral Studies Fund of UP,Ph.D in Psychology,University of Amsterdam,Amsterdam,The Netherlands
12000139,21034909,SLWP,,,11/1/2012,5/31/2013,0 / 7 / 0,0y 7m,with RSO,Local,No records,Ph.D in Psychology,UP Diliman,Diliman,Philippines
11000140,21638013,SLWP,,,6/1/2011,10/31/2011,0 / 5 / 0,0y 5m,Served,Local,No records,MS in Remote Sensing,UP Diliman,Diliman,Philippines
16000141,162038824,SLWP,8,Original,1/1/2016,12/31/2016,1 / 0 / 0,1y 0m,On-going,Local,,Master in Library and Info. Science,"SLIS, UP Diliman",Diliman,Philippines
12000142,22704491,SDWP,,,11/1/2012,9/30/2013,0 / 11 / 0,2y ,Served,Abroad,EQDT-Post-doctoral Fellow,Resarch Work for Post doctoral  ,"University of Calabria, Italy",Calabria,Italy
10000143,21035442,SDWP,,,2/22/2010,2/25/2010,0 / 0 / 4,,,Abroad,,,,,Korea
10000144,22036433,SDWP,,,1/29/2010,1/31/2010,0 / 0 / 3,,,Abroad,,,,Tokyo,Japan
10000145,22036433,SDWP,,,2/7/2010,2/13/2010,0 / 0 / 7,,,Abroad,,,,Bangkok,Thailand
10000146,131020424,SDWP,,,3/13/2010,3/28/2010,0 / 0 / 16,,,Abroad,,,"United Kingdom, The Netherlands, Spain and Belgium",,
11000147,223671474,SDWP,,,5/30/2011,3/31/2012,0 / 10 / 2,2y ,with RSO,Abroad,No records,Visiting professor,Nagasaki University,Nagasaki,Japan
16000148,21753826,SLWP,,,1/1/2016,12/31/2016,1 / 0 / 0,1y 0m,On-going,Local,,Ph.D. in Computer Science,UP Diliman,Diliman,Philippines
13000149,36082539,SLWP,,,11/24/2013,5/31/2016,2/6/2008,6y ,On-going,Abroad,Hitachi Scholarship Foundation,Ph.D,University of Tsukuba,Tsukuba,Japan
15000150,36082539,SLWP,,Renewal,6/1/2015,5/31/2016,1 / 0 / 0,2y ,On-going,Abroad,Under the Hitachi Scholarship Foundation,,University of Tsukuba ,,Japan
12000151,31037315,SDWP,,,4/23/2012,4/22/2013,1 / 0 / 0,2y ,On-going,Abroad,No records,Resarch Work for Post doctoral  ,"Asia Pacific Center for Theoritical Physics, Korea",Pohang,Korea
13000152,31037315,SDWOP,,,6/1/2013,5/31/2015,2 / 0 / 0,2y 0m,On-going,Abroad,"University of Kwazulu-Natal Durban, South Africa",Visiting Research fellow,"Asia Pacific Center for Theoritical Physics, Korea",Pohang,Korea
13000153,31037315,SDWP,,,6/1/2013,5/31/2014,1 / 0 / 0,2y ,On-going,Abroad,"University of Kwazulu-Natal Durban, South Africa",,"Asia Pacific Center for Theoritical Physics, Korea",,Korea
11000154,33805743,SLWP,Half-day,,4/1/2011,3/31/2012,1 / 0 / 0,1y 0m,Served,Local,No records,Master of Library and Information Science,UP Diliman,Diliman,Philippines
10000155,31930831,SLWP,,,6/1/2010,10/31/2011,1/5/2000,3y ,On-going,Abroad,No records,PH.D in Mathematics,"University of Rouen, France",Rouen,France
15000156,71803952,SDWP,Full-time,Original,11/14/2015,1/8/2016,0 / 1 / 26,6m,,Abroad,Campus France Phils.-French Ministry of FA,To take intensive French course,Paris Langues School,Paris ,France
14000157,21409305,SLWOP,,,8/1/2014,7/31/2017,3 / 0 / 0,3y 0m,On-going,Abroad,NTU Research Scholarship,Ph.D,Wee Kim Wee School of Info & Comm.-Nanyang,Singapore,Singapore
15000158,33849027,SLWP,Half-day,,8/1/2015,12/31/2015,0 / 5 / 0,0y 5m,On-going,Local,No records,Language proficiency for MA in Phil. Studies,UP Diliman,Diliman,Philippines
15000159,31047185,SLWP,,,6/1/2015,8/31/2015,0 / 3 / 0,1y,On-going,Abroad,Ministry of  FA of Republic of Italy,Language and Culture,Universita per Stranieri di Siena,Italy,Italy
10000160,122036329,SLWP,,,11/1/2010,10/31/2011,1 / 0 / 0,1y 0m,Served,Local,No records,Doctor in Public Administration,UP Diliman,Diliman,Philippines
16000161,122036329,Sabbatical,,,1/1/2016,12/31/2016,1 / 0 / 0,1.5y 0m,On-going,Local,,,,,
10000162,31034236,SDWP,,,2/22/2010,2/25/2010,0 / 0 / 4,,,Abroad,,,,,Korea
13000163,33026615,NTSF,,,6/1/2013,5/31/2014,1 / 0 / 0,1.5y 0m,Served,Local,NTSF,BS in Computer Science,"Systems Plus Computer College, Q.C",Diliman,Philippines
11000164,31608371,SLWP,,,6/1/2011,10/31/2011,0 / 5 / 0,1y,On-going,Abroad,No records,MA in International relations,"Australian National University, Australia",Canberra,Australia
11000165,31608371,SLWP,,,6/11/2011,5/31/2012,0 / 11 / 21,2y ,On-going,Abroad,,,,,Australia
15000166,61028281,SDWP,,,9/1/2015,1/15/2016,0 / 4 / 15,1y,On-going,Abroad,No records,Fulbright Senior Research Scholar,National Defense University,Fort Mcnair,USA
11000167,31720174,LFF,,,6/1/2011,5/31/2012,1 / 0 / 0,1.5y 0m,On-going,Local,No records,MS in Chemistry,UP Diliman,Diliman,Philippines
10000168,32804718,SDWP,,,4/1/2010,5/31/2010,0 / 2 / 0,1y,Served,Abroad,,,"Hokkaido University, Sapporo, Japan",,Japan
14000169,31033191,Sabbatical,,,6/1/2014,5/31/2015,1 / 0 / 0,1.5y 0m,,,,,,,
11000170,33004578,SDWP,,,10/1/2011,12/31/2011,0 / 3 / 0,1y,Served,Abroad,No records,Research Work,University of British Colombia,Vancouver,Canada
11000171,33004578,SLWP,,,11/1/2011,3/31/2012,0 / 5 / 0,0y 5m,Served,Local,No records,Dissertation in social Studies Curriculum history,UP Diliman,Diliman,Philippines
